Gene	baseMean	MeanExprSmall	MeanExprLarge	log2FoldChange	FoldChange	lfcSE	stat	pvalue	padj	Direction
LOC111092958	230.61	438.209	100.86	-2.111	0.232	0.505	-4.178	2.93e-05	3.77e-03	Down in Large
TRNAE-CUC.9	205.489	2090.031	1.585	-8.429	0.003	2.022	-4.17	3.05e-05	3.87e-03	Down in Large
LOC119874321	46.428	338.12	0.57	-8.027	0.004	1.926	-4.167	3.09e-05	3.91e-03	Down in Large
LOC119872418	38.656	96.551	2.472	-5.308	0.025	1.276	-4.16	3.18e-05	4.01e-03	Down in Large
LOC111096614	10.592	24.896	1.652	-3.913	0.066	0.941	-4.158	3.21e-05	4.03e-03	Down in Large
LOC119872078	80.275	185.591	14.453	-3.691	0.077	0.889	-4.153	3.29e-05	4.06e-03	Down in Large
LOC119865479	9.994	23.956	1.268	-4.009	0.062	0.965	-4.154	3.27e-05	4.06e-03	Down in Large
CD80	184.663	269.665	131.537	-1.002	0.499	0.241	-4.153	3.28e-05	4.06e-03	Down in Large
TRNAN-GUU.7	18.423	47.843	0.035	-8.044	0.004	1.937	-4.154	3.27e-05	4.06e-03	Down in Large
LOC111095966	15.907	40.227	10.677	-5.768	0.018	1.39	-4.149	3.33e-05	4.08e-03	Down in Large
LOC119873790	18.101	125.479	0.428	-7.207	0.007	1.737	-4.15	3.32e-05	4.08e-03	Down in Large
OAS2	388.582	722.213	180.062	-2.011	0.248	0.486	-4.139	3.48e-05	4.25e-03	Down in Large
TAB2	4998.334	8927.279	2542.743	-1.811	0.285	0.438	-4.132	3.60e-05	4.32e-03	Down in Large
LOC102151355	29.448	75.274	12.844	-6.516	0.011	1.577	-4.132	3.60e-05	4.32e-03	Down in Large
LOC119873160	53.986	126.625	8.586	-3.847	0.069	0.93	-4.135	3.55e-05	4.32e-03	Down in Large
LOC119865487	19.765	49.49	1.187	-5.403	0.024	1.307	-4.133	3.59e-05	4.32e-03	Down in Large
LOC119871367	8.32	19.834	1.124	-4.097	0.058	0.994	-4.123	3.75e-05	4.35e-03	Down in Large
LOC111096006	12.041	30.918	14.102	-6.464	0.011	1.566	-4.128	3.66e-05	4.35e-03	Down in Large
CYP2W1	62.992	108.647	34.457	-1.604	0.329	0.389	-4.123	3.75e-05	4.35e-03	Down in Large
LOC100688350	29.516	9.089	42.282	2.623	6.158	0.635	4.128	3.66e-05	4.35e-03	Up in Large
LOC119873477	76.899	189.834	6.314	-4.93	0.033	1.195	-4.126	3.70e-05	4.35e-03	Down in Large
LOC111098825	205.991	446.228	55.843	-2.998	0.125	0.727	-4.124	3.73e-05	4.35e-03	Down in Large
TRNAE-UUC.3	22.661	175.221	0.479	-7.543	0.005	1.829	-4.125	3.70e-05	4.35e-03	Down in Large
LOC119865247	66.473	155.841	10.618	-3.851	0.069	0.933	-4.128	3.66e-05	4.35e-03	Down in Large
CLIC6	106.406	221.983	34.171	-2.701	0.154	0.655	-4.122	3.75e-05	4.35e-03	Down in Large
LOC119866289	30.646	68.952	6.704	-3.231	0.106	0.785	-4.117	3.83e-05	4.41e-03	Down in Large
C3AR1	619.838	1001.278	381.438	-1.385	0.383	0.336	-4.118	3.83e-05	4.41e-03	Down in Large
LOC119869532	109.907	205.09	50.418	-1.99	0.252	0.484	-4.113	3.91e-05	4.45e-03	Down in Large
LOC119865933	4.596	11.509	0.275	-5.337	0.025	1.298	-4.113	3.91e-05	4.45e-03	Down in Large
LOC102152752	7.863	18.749	11.273	-4.121	0.057	1.002	-4.113	3.90e-05	4.45e-03	Down in Large
LOC102156787	14.364	37.347	8.268	-7.909	0.004	1.925	-4.109	3.97e-05	4.49e-03	Down in Large
OR6C69G	5.182	12.966	0.317	-5.665	0.02	1.378	-4.11	3.96e-05	4.49e-03	Down in Large
LOC119866496	15.607	35.492	3.179	-3.348	0.098	0.815	-4.106	4.03e-05	4.54e-03	Down in Large
LOC119869531	7.086	16.89	6.065	-4.224	0.054	1.03	-4.101	4.12e-05	4.62e-03	Down in Large
LOC119867948	85.293	161.596	37.603	-2.057	0.24	0.502	-4.1	4.13e-05	4.62e-03	Down in Large
LOC119866634	49.873	114.201	9.668	-3.524	0.087	0.86	-4.097	4.18e-05	4.64e-03	Down in Large
TRNAR-ACG.1	15.693	40.136	0.416	-6.234	0.013	1.521	-4.098	4.17e-05	4.64e-03	Down in Large
LOC102154571	69.766	148.538	20.533	-2.831	0.14	0.692	-4.094	4.23e-05	4.67e-03	Down in Large
LOC119873022	9.902	25.635	0.068	-6.939	0.008	1.695	-4.094	4.24e-05	4.67e-03	Down in Large
LOC119869416	7.855	19.862	0.35	-6.248	0.013	1.527	-4.093	4.27e-05	4.68e-03	Down in Large
TRNAM-CAU.20	14.342	37.016	0.17	-7.479	0.006	1.828	-4.091	4.30e-05	4.70e-03	Down in Large
LOC119874235	41.922	95.346	8.533	-3.466	0.091	0.848	-4.088	4.35e-05	4.73e-03	Down in Large
LOC119866208	77.636	43.3	99.097	1.304	2.469	0.319	4.088	4.36e-05	4.73e-03	Up in Large
LOC119871105	11.622	27.122	1.935	-3.813	0.071	0.933	-4.084	4.42e-05	4.75e-03	Down in Large
TRNAW-CCA.1	7.443	18.292	0.663	-4.475	0.045	1.095	-4.085	4.40e-05	4.75e-03	Down in Large
LOC100688005	5.969	14.292	0.768	-4.798	0.036	1.175	-4.083	4.45e-05	4.75e-03	Down in Large
LOC119869415	18.33	44.282	2.11	-4.439	0.046	1.087	-4.083	4.44e-05	4.75e-03	Down in Large
TRNAE-UUC.2	23.169	166.944	0.546	-7.145	0.007	1.75	-4.083	4.45e-05	4.75e-03	Down in Large
KCNJ15	18.536	42.613	27.141	-3.608	0.082	0.884	-4.081	4.48e-05	4.76e-03	Down in Large
LOC119874348	15.048	35.142	2.49	-3.567	0.084	0.874	-4.08	4.50e-05	4.77e-03	Down in Large
LOC102151386	13.548	34.437	10.462	-6.1	0.015	1.495	-4.079	4.52e-05	4.77e-03	Down in Large
TRNAV-CAC.6	16.448	119.713	0.356	-7.309	0.006	1.794	-4.075	4.61e-05	4.85e-03	Down in Large
LOC119872413	34.211	69.404	12.216	-2.348	0.196	0.577	-4.071	4.69e-05	4.90e-03	Down in Large
LOC111098319	8.427	21.911	0	-7.116	0.007	1.748	-4.072	4.67e-05	4.90e-03	Down in Large
LOC119870595	2635.389	6682.001	106.257	-5.976	0.016	1.469	-4.067	4.76e-05	4.96e-03	Down in Large
TRNAF-GAA.1	11.764	139.633	0.07	-7.374	0.006	1.813	-4.066	4.78e-05	4.96e-03	Down in Large
LOC119870930	459.772	882.003	195.877	-2.165	0.223	0.533	-4.061	4.89e-05	5.03e-03	Down in Large
LOC119871469	84.315	178.056	25.727	-2.772	0.146	0.682	-4.062	4.87e-05	5.03e-03	Down in Large
ZFP36L1	1553.336	2529.845	943.019	-1.415	0.375	0.348	-4.061	4.88e-05	5.03e-03	Down in Large
LOC111093413	13.435	32.597	1.458	-4.58	0.042	1.129	-4.058	4.94e-05	5.06e-03	Down in Large
LOC119871860	9.849	24.276	0.832	-5.211	0.027	1.285	-4.054	5.02e-05	5.09e-03	Down in Large
LOC119873859	3606.894	1525.261	4907.914	1.69	3.226	0.417	4.055	5.02e-05	5.09e-03	Up in Large
LOC102151797	27.088	61.586	24.737	-3.507	0.088	0.865	-4.054	5.03e-05	5.09e-03	Down in Large
LOC119864820	25.52	65.197	0.722	-7.063	0.007	1.742	-4.053	5.05e-05	5.09e-03	Down in Large
TRNAL-CAG.4	22.627	198.699	0.581	-7.116	0.007	1.755	-4.054	5.03e-05	5.09e-03	Down in Large
LOC111097580	36.38	81.196	8.37	-3.256	0.105	0.804	-4.05	5.13e-05	5.15e-03	Down in Large
LOC111095576	16.693	36.543	4.287	-3.096	0.117	0.765	-4.047	5.19e-05	5.18e-03	Down in Large
LOC119873571	53.144	114.814	14.6	-2.918	0.132	0.721	-4.045	5.22e-05	5.18e-03	Down in Large
MX2	154.244	312.115	55.574	-2.502	0.177	0.618	-4.048	5.18e-05	5.18e-03	Down in Large
LOC119868102	5.126	12.469	0.536	-4.447	0.046	1.099	-4.046	5.22e-05	5.18e-03	Down in Large
LOC111091477	27.112	64.869	3.514	-4.207	0.054	1.041	-4.043	5.29e-05	5.21e-03	Down in Large
LOC119867957	146.526	281.051	62.448	-2.15	0.225	0.532	-4.043	5.28e-05	5.21e-03	Down in Large
HOXB5	52.185	128.43	18.027	-4.814	0.036	1.192	-4.039	5.37e-05	5.25e-03	Down in Large
LOC100684769	217.672	361.22	127.954	-1.494	0.355	0.37	-4.039	5.36e-05	5.25e-03	Down in Large
LOC111095607	22.064	37.809	12.224	-1.652	0.318	0.41	-4.03	5.58e-05	5.42e-03	Down in Large
LOC106559159	120.373	238.858	46.32	-2.361	0.195	0.586	-4.03	5.59e-05	5.42e-03	Down in Large
TRNAH-GUG.1	13.19	147.402	1.488	-4.278	0.052	1.062	-4.03	5.59e-05	5.42e-03	Down in Large
CA12	714.947	1239.099	387.352	-1.677	0.313	0.416	-4.027	5.65e-05	5.46e-03	Down in Large
RBP4	1493.646	716.744	1979.209	1.465	2.761	0.364	4.025	5.71e-05	5.50e-03	Up in Large
TRNAE-UUC	117.102	1373.381	0.333	-9.973	0.001	2.481	-4.02	5.82e-05	5.58e-03	Down in Large
LOC607182	8516.64	4864.702	10799.102	1.15	2.219	0.286	4.02	5.82e-05	5.58e-03	Up in Large
LOC106558054	11.973	30.137	20.681	-5.535	0.022	1.377	-4.019	5.85e-05	5.59e-03	Down in Large
LOC111098422	8.623	21.701	7.257	-5.902	0.017	1.47	-4.014	5.97e-05	5.63e-03	Down in Large
ITPRIPL2	352.523	543.927	232.896	-1.21	0.432	0.301	-4.014	5.96e-05	5.63e-03	Down in Large
LOC119865435	27.097	64.45	3.752	-4.034	0.061	1.005	-4.014	5.96e-05	5.63e-03	Down in Large
RASSF9	920.098	1596.525	497.33	-1.681	0.312	0.419	-4.014	5.96e-05	5.63e-03	Down in Large
LOC119864327	47.472	110.251	8.235	-3.703	0.077	0.923	-4.013	5.98e-05	5.63e-03	Down in Large
LOC100686091	23.562	58.493	1.731	-5.109	0.029	1.274	-4.009	6.10e-05	5.72e-03	Down in Large
LOC102155728	23.962	54.599	4.813	-3.494	0.089	0.872	-4.006	6.18e-05	5.76e-03	Down in Large
LOC102157278	96.285	172.276	48.792	-1.807	0.286	0.451	-4.006	6.18e-05	5.76e-03	Down in Large
KLHDC7A	19.661	42.688	18.278	-3.017	0.124	0.754	-3.999	6.37e-05	5.91e-03	Down in Large
LOC106558823	780.022	1315.792	445.166	-1.558	0.34	0.39	-3.992	6.57e-05	6.07e-03	Down in Large
MUC16	55.948	140.694	67.664	-5.557	0.021	1.392	-3.991	6.58e-05	6.07e-03	Down in Large
ZMAT1	1089.55	1881.234	594.748	-1.656	0.317	0.415	-3.989	6.63e-05	6.10e-03	Down in Large
LOC119865262	7.176	18.114	0.339	-5.784	0.018	1.452	-3.984	6.79e-05	6.23e-03	Down in Large
PVRIG	23.067	51.016	5.598	-3.192	0.109	0.802	-3.978	6.96e-05	6.31e-03	Down in Large
LOC111092076	4.004	10.261	4.592	-5.454	0.023	1.371	-3.979	6.91e-05	6.31e-03	Down in Large
LOC608876	183.068	44.494	269.678	2.681	6.414	0.674	3.979	6.93e-05	6.31e-03	Up in Large
GPR160	117.42	190.3	71.87	-1.376	0.385	0.346	-3.978	6.95e-05	6.31e-03	Down in Large
TMEM72	63.748	131.715	21.27	-2.613	0.164	0.657	-3.976	7.00e-05	6.32e-03	Down in Large
NEMP2	338.888	495.624	240.928	-1.015	0.495	0.255	-3.976	7.01e-05	6.32e-03	Down in Large
LOC119873452	30083.814	75050.974	1979.339	-5.245	0.026	1.32	-3.973	7.09e-05	6.35e-03	Down in Large
LOC111091229	6.697	16.441	8.388	-4.94	0.033	1.243	-3.974	7.07e-05	6.35e-03	Down in Large
CP	1768.023	3039.431	973.393	-1.644	0.32	0.414	-3.973	7.11e-05	6.35e-03	Down in Large
LOC119872102	4.952	12.37	0.317	-5.377	0.024	1.355	-3.969	7.21e-05	6.42e-03	Down in Large
LOC111096046	30.657	75.896	40.437	-4.978	0.032	1.254	-3.969	7.23e-05	6.42e-03	Down in Large
HOXB8	6.693	17.014	10.699	-5.862	0.017	1.478	-3.965	7.33e-05	6.50e-03	Down in Large
TRNAI-AAU.5	13.242	34.155	0.171	-6.992	0.008	1.767	-3.956	7.61e-05	6.72e-03	Down in Large
LOC102152165	179.662	315.051	95.044	-1.728	0.302	0.437	-3.951	7.77e-05	6.84e-03	Down in Large
LOC119874395	705.573	1804.423	18.791	-6.59	0.01	1.668	-3.95	7.81e-05	6.84e-03	Down in Large
LOC119869644	81.178	188.325	14.21	-3.701	0.077	0.937	-3.95	7.81e-05	6.84e-03	Down in Large
LOC119870186	46.356	99.936	12.869	-2.921	0.132	0.74	-3.949	7.86e-05	6.87e-03	Down in Large
LOC106559823	60.884	135.04	14.537	-3.204	0.109	0.812	-3.947	7.93e-05	6.90e-03	Down in Large
SIGLEC1	95.441	186.407	38.587	-2.295	0.204	0.582	-3.946	7.96e-05	6.91e-03	Down in Large
LOC100688849	73.482	146.223	28.019	-2.353	0.196	0.598	-3.935	8.33e-05	6.97e-03	Down in Large
ITGAL	166.976	306.863	79.547	-1.944	0.26	0.494	-3.938	8.22e-05	6.97e-03	Down in Large
TMEM183A	1875.499	1315.576	2225.45	0.747	1.679	0.19	3.934	8.34e-05	6.97e-03	Up in Large
LOC480059	409.626	174.987	556.275	1.708	3.268	0.434	3.937	8.24e-05	6.97e-03	Up in Large
LOC119880537	166.438	321.847	69.308	-2.201	0.218	0.558	-3.942	8.06e-05	6.97e-03	Down in Large
NPY5R	67.739	30.555	90.979	1.502	2.832	0.382	3.937	8.27e-05	6.97e-03	Up in Large
LOC119864497	80.71	171.123	24.201	-2.811	0.142	0.714	-3.938	8.23e-05	6.97e-03	Down in Large
LOC106560140	34.076	68.037	12.85	-2.362	0.194	0.6	-3.938	8.21e-05	6.97e-03	Down in Large
LOC100685416	105.641	52.787	138.675	1.528	2.885	0.388	3.937	8.26e-05	6.97e-03	Up in Large
LOC119866008	10.107	26.165	0.07	-7.14	0.007	1.815	-3.934	8.35e-05	6.97e-03	Down in Large
LOC111093685	86.574	181.719	27.109	-2.739	0.15	0.696	-3.936	8.28e-05	6.97e-03	Down in Large
ABI3BP	945.489	1542.856	572.134	-1.429	0.372	0.363	-3.94	8.15e-05	6.97e-03	Down in Large
LOC102154490	5.183	12.984	0.308	-5.583	0.021	1.419	-3.936	8.30e-05	6.97e-03	Down in Large
TRNAL-UAG.3	10.314	25.481	0.835	-4.745	0.037	1.206	-3.935	8.32e-05	6.97e-03	Down in Large
LOC119880298	4.748	0.07	7.671	4.416	21.348	1.123	3.933	8.39e-05	6.99e-03	Up in Large
LOC119872095	28.196	63.684	6.016	-3.275	0.103	0.833	-3.93	8.49e-05	7.05e-03	Down in Large
LOC106559160	37.311	78.575	11.52	-2.701	0.154	0.688	-3.929	8.54e-05	7.08e-03	Down in Large
LOC119872417	8.797	21.274	1	-4.274	0.052	1.089	-3.923	8.75e-05	7.16e-03	Down in Large
F5	165.513	873.497	43.383	-3.067	0.119	0.781	-3.924	8.70e-05	7.16e-03	Down in Large
GNAI1	4813.407	3345.712	5730.716	0.774	1.71	0.197	3.923	8.73e-05	7.16e-03	Up in Large
LOC119866197	50.343	107.358	14.709	-2.866	0.137	0.731	-3.923	8.76e-05	7.16e-03	Down in Large
TRNAK-CUU.31	14.439	37.493	0.031	-7.684	0.005	1.958	-3.924	8.71e-05	7.16e-03	Down in Large
LOC119867393	9.254	22.785	0.798	-4.79	0.036	1.222	-3.919	8.91e-05	7.26e-03	Down in Large
LOC119873708	546.492	743.995	423.053	-0.796	0.576	0.203	-3.915	9.04e-05	7.35e-03	Down in Large
LOC119865265	27.44	66.704	2.901	-4.508	0.044	1.154	-3.908	9.31e-05	7.55e-03	Down in Large
LOC119867691	18.87	46.151	1.82	-4.652	0.04	1.192	-3.903	9.48e-05	7.61e-03	Down in Large
CREB3L2	1221.694	1824.557	844.905	-1.107	0.464	0.283	-3.904	9.45e-05	7.61e-03	Down in Large
LOC119869640	5.078	12.896	0.192	-5.608	0.021	1.436	-3.905	9.44e-05	7.61e-03	Down in Large
PIK3CG	215.478	326.055	146.368	-1.148	0.451	0.294	-3.904	9.48e-05	7.61e-03	Down in Large
LOC100688084	5.334	12.639	0.768	-4.607	0.041	1.181	-3.901	9.58e-05	7.65e-03	Down in Large
LOC111091661	89.072	174.256	35.831	-2.275	0.207	0.583	-3.9	9.61e-05	7.65e-03	Down in Large
CAMKK2	8858.583	4701.285	11456.894	1.285	2.436	0.329	3.901	9.59e-05	7.65e-03	Up in Large
LOC119865372	92.049	175.297	40.019	-2.102	0.233	0.539	-3.897	9.74e-05	7.72e-03	Down in Large
TRNAG-CCC.3	192.517	2484.148	0.158	-11.726	0	3.009	-3.897	9.75e-05	7.72e-03	Down in Large
TRNAG-GCC.9	97.904	1014.353	0.72	-8.52	0.003	2.188	-3.893	9.89e-05	7.81e-03	Down in Large
LOC119870963	12.253	26.197	3.538	-2.695	0.154	0.693	-3.89	1.00e-04	7.90e-03	Down in Large
LOC119872919	83.792	195.012	14.28	-3.75	0.074	0.964	-3.889	1.01e-04	7.91e-03	Down in Large
LOC102154920	15.378	37.009	9.031	-4.301	0.051	1.106	-3.888	1.01e-04	7.91e-03	Down in Large
LOC111092580	20.122	47.273	15.432	-3.887	0.068	1	-3.888	1.01e-04	7.91e-03	Down in Large
LOC119874150	39.528	78.569	15.127	-2.321	0.2	0.597	-3.885	1.02e-04	7.97e-03	Down in Large
LOC119866789	12.64	31.692	0.733	-5.551	0.021	1.432	-3.876	1.06e-04	8.28e-03	Down in Large
LOC119872614	53.378	120.309	11.546	-3.368	0.097	0.87	-3.873	1.08e-04	8.36e-03	Down in Large
LOC106558299	75.375	141.112	34.289	-1.964	0.256	0.508	-3.869	1.09e-04	8.45e-03	Down in Large
LOC111090872	11.88	28.373	1.572	-4.198	0.054	1.086	-3.865	1.11e-04	8.59e-03	Down in Large
LOC119870187	76.079	174.516	14.556	-3.58	0.084	0.927	-3.862	1.12e-04	8.62e-03	Down in Large
ZFP36L2	1685.453	2747.076	1021.939	-1.423	0.373	0.369	-3.862	1.13e-04	8.62e-03	Down in Large
LOC119866248	15.513	34.311	3.765	-3.134	0.114	0.811	-3.862	1.12e-04	8.62e-03	Down in Large
LOC119867570	77.575	174.441	17.034	-3.329	0.1	0.862	-3.861	1.13e-04	8.62e-03	Down in Large
FLNC	1096.089	1799.282	656.593	-1.453	0.365	0.376	-3.859	1.14e-04	8.63e-03	Down in Large
ZNF619	142.13	222.997	91.588	-1.295	0.408	0.336	-3.859	1.14e-04	8.63e-03	Down in Large
ZNF674.1	167.17	272.139	101.565	-1.358	0.39	0.352	-3.86	1.13e-04	8.63e-03	Down in Large
TRNAA-UGC.3	15.094	38.863	0.239	-7.19	0.007	1.862	-3.861	1.13e-04	8.63e-03	Down in Large
WRNIP1	2754.231	2025.294	3209.817	0.656	1.576	0.17	3.854	1.16e-04	8.79e-03	Up in Large
LOC102155649	19.505	47.747	31.156	-4.664	0.039	1.211	-3.851	1.18e-04	8.86e-03	Down in Large
LOC119864659	35.545	64.435	17.488	-1.846	0.278	0.479	-3.85	1.18e-04	8.86e-03	Down in Large
LOC487627	13.799	31.942	2.459	-3.641	0.08	0.946	-3.85	1.18e-04	8.86e-03	Down in Large
LOC119873168	12.672	31.052	1.185	-4.667	0.039	1.214	-3.845	1.20e-04	8.98e-03	Down in Large
LOC111093719	21.571	40.059	10.017	-1.94	0.261	0.505	-3.845	1.20e-04	8.98e-03	Down in Large
ISG15	199.936	393.886	78.717	-2.33	0.199	0.606	-3.843	1.21e-04	9.03e-03	Down in Large
LOC119872780	14.772	36.494	1.196	-4.937	0.033	1.285	-3.841	1.23e-04	9.10e-03	Down in Large
LOC486878	6.09	15.148	0.429	-5.219	0.027	1.359	-3.84	1.23e-04	9.10e-03	Down in Large
LOC119868007	50.829	102.531	18.516	-2.429	0.186	0.633	-3.839	1.23e-04	9.11e-03	Down in Large
LOC102154469	46.936	94.694	17.086	-2.373	0.193	0.618	-3.837	1.24e-04	9.16e-03	Down in Large
LOC111096517	5.392	12.713	0.816	-3.825	0.071	0.997	-3.836	1.25e-04	9.18e-03	Down in Large
LOC119864851	5.972	13.918	1.006	-3.247	0.105	0.847	-3.832	1.27e-04	9.29e-03	Down in Large
C28H10orf71	16.616	38.334	17.024	-3.617	0.081	0.944	-3.833	1.27e-04	9.29e-03	Down in Large
LOC119866631	10.883	27.28	0.634	-5.886	0.017	1.537	-3.83	1.28e-04	9.37e-03	Down in Large
LOC119872134	74.447	147.178	28.99	-2.329	0.199	0.608	-3.827	1.30e-04	9.40e-03	Down in Large
LOC119869669	150.471	337.295	33.706	-3.321	0.1	0.868	-3.827	1.30e-04	9.40e-03	Down in Large
LOC119867478	28.978	57.016	11.455	-2.375	0.193	0.621	-3.828	1.29e-04	9.40e-03	Down in Large
LOC119877020	25.393	8.669	35.845	1.922	3.789	0.503	3.823	1.32e-04	9.50e-03	Up in Large
C2CD4D	24.334	51.353	7.448	-2.722	0.152	0.712	-3.823	1.32e-04	9.50e-03	Down in Large
LOC119869900	39.391	350.794	4.945	-4.248	0.053	1.113	-3.817	1.35e-04	9.71e-03	Down in Large
LOC119867218	32.065	72.007	7.102	-3.348	0.098	0.877	-3.817	1.35e-04	9.71e-03	Down in Large
LOC119865252	194.05	1987.664	28.23	-6.829	0.009	1.79	-3.815	1.36e-04	9.72e-03	Down in Large
LOC111093732	146.538	258.076	76.827	-1.684	0.311	0.441	-3.816	1.36e-04	9.72e-03	Down in Large
LOC111091368	45.601	102.726	9.898	-3.37	0.097	0.884	-3.814	1.37e-04	9.74e-03	Down in Large
SPINT3	289.022	516.009	147.155	-1.776	0.292	0.466	-3.814	1.37e-04	9.74e-03	Down in Large
FANCF	464.314	656.283	344.333	-0.898	0.537	0.235	-3.812	1.38e-04	9.78e-03	Down in Large
LOC111097447	108.896	170.126	70.626	-1.23	0.426	0.323	-3.81	1.39e-04	9.82e-03	Down in Large
LOC119868710	16.437	41.266	0.918	-5.555	0.021	1.458	-3.809	1.39e-04	9.82e-03	Down in Large
LOC111090706	19.788	46.512	3.085	-3.846	0.07	1.009	-3.81	1.39e-04	9.82e-03	Down in Large
RAB5IF	1481.145	967.97	1801.88	0.889	1.851	0.233	3.809	1.40e-04	9.83e-03	Up in Large
LOC119869840	97.566	1136.357	4.21	-6.969	0.008	1.831	-3.807	1.41e-04	9.89e-03	Down in Large
LOC106559276	31.832	61.72	13.151	-2.113	0.231	0.556	-3.804	1.43e-04	9.98e-03	Down in Large
TRNAN-GUU	9.166	69.453	0.161	-6.425	0.012	1.69	-3.802	1.43e-04	9.98e-03	Down in Large
LOC111097081	614.174	1181.114	259.836	-2.179	0.221	0.573	-3.803	1.43e-04	9.98e-03	Down in Large
LOC119867468	136.983	228.633	79.702	-1.483	0.358	0.39	-3.802	1.44e-04	9.98e-03	Down in Large
LOC119866880	12.777	30.356	1.79	-3.989	0.063	1.049	-3.801	1.44e-04	9.99e-03	Down in Large
LOC102154216	60.534	121.991	22.122	-2.432	0.185	0.64	-3.799	1.45e-04	1.01e-02	Down in Large
PAK1	18461.683	12340.792	22287.24	0.852	1.806	0.225	3.796	1.47e-04	1.01e-02	Up in Large
USP53	1692.507	2789.417	1006.938	-1.47	0.361	0.387	-3.796	1.47e-04	1.01e-02	Down in Large
HERC6	392.623	693.772	204.405	-1.769	0.293	0.466	-3.798	1.46e-04	1.01e-02	Down in Large
LOC111092012	43.102	86.705	15.85	-2.471	0.18	0.652	-3.79	1.51e-04	1.02e-02	Down in Large
LOC100685213	4.186	9.831	0.658	-4.238	0.053	1.117	-3.794	1.48e-04	1.02e-02	Down in Large
LOC111092340	55.89	119.98	15.833	-2.888	0.135	0.762	-3.792	1.50e-04	1.02e-02	Down in Large
LOC119866393	4.302	11.186	0	-6.114	0.014	1.612	-3.793	1.49e-04	1.02e-02	Down in Large
LOC119866993	7.988	18.939	1.143	-3.938	0.065	1.038	-3.792	1.49e-04	1.02e-02	Down in Large
LOC106558184	7.804	20.126	0.104	-6.411	0.012	1.691	-3.791	1.50e-04	1.02e-02	Down in Large
HIF3A	388.245	658.935	219.064	-1.568	0.337	0.414	-3.789	1.51e-04	1.03e-02	Down in Large
LOC119872069	19.983	44.214	4.838	-3.01	0.124	0.795	-3.788	1.52e-04	1.03e-02	Down in Large
FLVCR2	151.202	220.04	108.178	-1.02	0.493	0.269	-3.788	1.52e-04	1.03e-02	Down in Large
LOC111095455	14.185	30.151	4.206	-2.867	0.137	0.758	-3.784	1.54e-04	1.04e-02	Down in Large
LOC102155213	54.169	110.196	19.152	-2.527	0.174	0.669	-3.779	1.57e-04	1.05e-02	Down in Large
LOC119869482	7.069	17.433	0.592	-4.803	0.036	1.271	-3.78	1.57e-04	1.05e-02	Down in Large
LOC119871390	21.591	139.937	3.985	-3.578	0.084	0.948	-3.775	1.60e-04	1.06e-02	Down in Large
LOC119873893	165.234	337.521	57.554	-2.539	0.172	0.672	-3.777	1.59e-04	1.06e-02	Down in Large
CFAP92	127.545	221.016	69.126	-1.644	0.32	0.436	-3.775	1.60e-04	1.06e-02	Down in Large
FCGR2B	380.396	780.065	130.603	-2.581	0.167	0.684	-3.775	1.60e-04	1.06e-02	Down in Large
rna-NC_002008.4:5212..5279	1511.94	3218.928	445.072	-2.853	0.138	0.756	-3.775	1.60e-04	1.06e-02	Down in Large
LOC100684931	8.088	20.831	2.555	-6.368	0.012	1.691	-3.766	1.66e-04	1.09e-02	Down in Large
LOC119871387	95.261	217.868	18.631	-3.532	0.086	0.938	-3.765	1.66e-04	1.09e-02	Down in Large
LOC119865067	88.954	227.663	2.26	-6.666	0.01	1.77	-3.767	1.65e-04	1.09e-02	Down in Large
LOC119866956	932.684	2378.539	29.025	-6.361	0.012	1.689	-3.767	1.65e-04	1.09e-02	Down in Large
LOC111098312	88.262	214.35	9.458	-4.517	0.044	1.2	-3.764	1.67e-04	1.10e-02	Down in Large
ELK3	364.912	557.705	244.416	-1.175	0.443	0.312	-3.764	1.67e-04	1.10e-02	Down in Large
LOC119867565	324.839	713.628	81.846	-3.125	0.115	0.831	-3.761	1.69e-04	1.10e-02	Down in Large
TRNAE-CUC.11	128.133	1337.219	1.309	-8.014	0.004	2.13	-3.763	1.68e-04	1.10e-02	Down in Large
LOC119870472	97.297	175.474	48.437	-1.843	0.279	0.492	-3.749	1.78e-04	1.11e-02	Down in Large
LOC111095226	43.066	94.09	11.176	-3.065	0.119	0.817	-3.751	1.76e-04	1.11e-02	Down in Large
LOC111095844	38.136	76.464	14.181	-2.4	0.189	0.639	-3.757	1.72e-04	1.11e-02	Down in Large
TRNAQ-CUG	52.841	515.434	0.036	-9.593	0.001	2.554	-3.757	1.72e-04	1.11e-02	Down in Large
LOC119872423	6.418	16.153	0.334	-5.832	0.018	1.552	-3.757	1.72e-04	1.11e-02	Down in Large
LOC119873701	8.252	21.33	4.335	-6.927	0.008	1.845	-3.755	1.73e-04	1.11e-02	Down in Large
LOC111097890	9.202	23.259	3.699	-5.56	0.021	1.482	-3.752	1.76e-04	1.11e-02	Down in Large
LOC106559546	485.337	1121.52	87.724	-3.676	0.078	0.98	-3.751	1.76e-04	1.11e-02	Down in Large
LOC119869448	19.138	42.51	4.53	-3.158	0.112	0.84	-3.759	1.70e-04	1.11e-02	Down in Large
LOC111090272	5.36	12.95	0.616	-4.34	0.049	1.156	-3.756	1.73e-04	1.11e-02	Down in Large
CYP4V2	1049.694	1572.133	723.17	-1.12	0.46	0.298	-3.752	1.76e-04	1.11e-02	Down in Large
